               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.018816,           0.0042147,           0.0025039,             0.98447,             0.97311,              0.9877,             0.80337,            0.018587,           0.0048985,           0.0021826,            0.004126,            0.004126,            0.004126
                  91,            0.018659,            0.004079,           0.0021286,             0.98449,              0.9705,             0.98238,             0.79895,            0.017626,           0.0051156,           0.0021337,             0.00406,             0.00406,             0.00406
                  92,            0.019015,           0.0041402,           0.0019865,             0.99689,              0.9628,             0.98167,             0.81037,              0.0181,           0.0049953,            0.001934,            0.003994,            0.003994,            0.003994
                  93,             0.01815,           0.0039276,            0.001881,             0.98099,             0.97491,             0.98324,             0.80682,             0.01794,           0.0049289,            0.001914,            0.003928,            0.003928,            0.003928
                  94,            0.019271,           0.0038136,           0.0018599,              0.9991,             0.96837,             0.98214,             0.80615,            0.017197,           0.0048791,           0.0018468,            0.003862,            0.003862,            0.003862
                  95,            0.017623,           0.0042571,           0.0020621,             0.98255,             0.96841,             0.98555,             0.80042,             0.01714,           0.0047878,           0.0017363,            0.003796,            0.003796,            0.003796
                  96,            0.017566,           0.0041039,           0.0017067,             0.99254,              0.9505,             0.98126,             0.80383,            0.017618,           0.0050992,           0.0017154,             0.00373,             0.00373,             0.00373
                  97,            0.018646,           0.0040727,           0.0018035,             0.99292,              0.9567,             0.98205,              0.8149,            0.015676,           0.0048759,            0.001658,            0.003664,            0.003664,            0.003664
                  98,            0.018288,           0.0039855,           0.0017882,             0.99573,             0.97041,             0.98411,             0.80582,            0.017249,           0.0048942,           0.0016837,            0.003598,            0.003598,            0.003598
                  99,            0.017365,           0.0040061,           0.0018947,             0.99195,             0.96748,             0.98291,             0.80704,            0.016883,           0.0050184,           0.0017424,            0.003532,            0.003532,            0.003532
                 100,            0.017292,            0.004206,           0.0019046,             0.99668,             0.96047,             0.98572,             0.79914,            0.016696,           0.0046701,           0.0017593,            0.003466,            0.003466,            0.003466
                 101,            0.016614,           0.0038329,           0.0018321,             0.98707,             0.96465,             0.98813,             0.80794,            0.016737,           0.0046239,            0.001676,              0.0034,              0.0034,              0.0034
                 102,            0.017367,           0.0039972,           0.0017119,             0.98414,             0.97045,             0.98739,             0.80671,            0.017493,           0.0048502,           0.0016324,            0.003334,            0.003334,            0.003334
                 103,            0.017112,           0.0039372,           0.0019695,             0.99436,             0.96383,             0.98704,             0.80619,             0.01683,           0.0046778,           0.0016335,            0.003268,            0.003268,            0.003268
                 104,            0.017059,           0.0041853,           0.0016972,              0.9823,             0.97133,              0.9865,             0.80845,            0.016314,           0.0048453,           0.0018079,            0.003202,            0.003202,            0.003202
                 105,            0.016081,           0.0038256,           0.0016472,             0.98802,              0.9666,              0.9872,             0.80953,            0.016785,           0.0046572,           0.0018215,            0.003136,            0.003136,            0.003136
                 106,            0.016316,           0.0042243,           0.0017598,              0.9917,             0.96409,             0.98687,             0.80816,            0.016195,           0.0046695,           0.0017951,             0.00307,             0.00307,             0.00307
                 107,            0.016111,           0.0038917,           0.0016145,             0.99212,             0.95861,             0.98395,             0.81786,            0.016433,           0.0049105,           0.0018796,            0.003004,            0.003004,            0.003004
                 108,            0.016415,           0.0037108,           0.0016489,              0.9959,              0.9629,             0.98563,             0.81716,            0.016677,           0.0047693,            0.001815,            0.002938,            0.002938,            0.002938
                 109,            0.016435,           0.0036896,           0.0016611,             0.99381,             0.96626,             0.98259,             0.81348,            0.016089,           0.0048724,           0.0018402,            0.002872,            0.002872,            0.002872
                 110,            0.015365,           0.0036111,           0.0014494,             0.99323,             0.96649,             0.98542,             0.81286,            0.016384,           0.0049029,           0.0018507,            0.002806,            0.002806,            0.002806
                 111,            0.015646,           0.0036482,           0.0016064,             0.99397,             0.95944,             0.98024,             0.81208,            0.016558,           0.0050533,           0.0019796,             0.00274,             0.00274,             0.00274
                 112,            0.015168,           0.0036026,           0.0015123,             0.99259,             0.96365,             0.98086,             0.81191,            0.017579,           0.0052065,           0.0019243,            0.002674,            0.002674,            0.002674
                 113,            0.015358,           0.0035667,           0.0016695,             0.99435,             0.96392,             0.98052,             0.81343,            0.015557,            0.004927,           0.0018941,            0.002608,            0.002608,            0.002608
                 114,            0.016319,           0.0036712,           0.0015284,             0.98853,              0.9609,             0.98569,             0.80777,            0.016488,           0.0049673,           0.0018174,            0.002542,            0.002542,            0.002542
                 115,            0.015073,           0.0036997,           0.0015999,             0.98612,             0.96633,             0.98766,             0.80968,            0.016246,           0.0046908,           0.0016491,            0.002476,            0.002476,            0.002476
                 116,            0.014822,           0.0036888,            0.001762,             0.98851,             0.96719,             0.98798,             0.80845,            0.015941,           0.0047787,           0.0016022,             0.00241,             0.00241,             0.00241
